Date,Time,Body Weight (kgs),Body Fat,Comment
2016-01-30,09:08:32,95.3,0.0,""
2016-01-31,17:12:18,95.3,0.0,""
2016-02-01,06:21:04,95.4,0.0,""
2016-02-02,06:20:45,94.7,0.0,""
2016-02-03,08:42:50,94.0,0.0,""
2016-02-04,06:26:32,94.5,0.0,""
2016-02-05,06:25:40,93.9,0.0,""
2016-02-06,09:18:27,94.6,0.0,""
2016-02-07,09:56:16,94.5,0.0,""
2016-02-09,06:32:55,93.9,0.0,""
2016-02-10,06:55:25,94.5,0.0,""
2016-02-11,08:19:36,94.6,0.0,""
2016-02-12,07:04:57,94.0,0.0,""
2016-02-13,09:04:41,93.6,0.0,""
2016-02-14,09:52:22,93.9,0.0,""
